sample,component_pages_allocated,directories_allocated,component_values_copied,directory_entries_copied,candidate_bodies_scanned,changed_bodies,body_reconstructions
497,4,2,256,314,100,100,0
498,4,2,256,314,100,100,0
499,4,2,256,314,100,100,0
500,4,2,256,314,100,100,0
501,4,2,256,314,100,100,0
502,4,2,256,314,100,100,0
503,4,2,256,314,100,100,0
504,4,2,256,314,100,100,0
505,4,2,256,314,100,100,0
506,4,2,256,314,100,100,0
507,4,2,256,314,100,100,0
508,4,2,256,314,100,100,0
509,4,2,256,314,100,100,0
510,4,2,256,314,100,100,0
511,4,2,256,314,100,100,0
512,4,2,256,314,100,100,0
513,4,2,256,314,100,100,0
514,4,2,256,314,100,100,0
515,4,2,256,314,100,100,0
516,4,2,256,314,100,100,0
517,4,2,256,314,100,100,0
518,4,2,256,314,100,100,0
519,4,2,256,314,100,100,0
520,4,2,256,314,100,100,0
521,4,2,256,314,100,100,0
522,4,2,256,314,100,100,0
523,4,2,256,314,100,100,0
524,4,2,256,314,100,100,0
525,4,2,256,314,100,100,0
526,4,2,256,314,100,100,0
527,4,2,256,314,100,100,0
528,4,2,256,314,100,100,0
529,4,2,256,314,100,100,0
530,4,2,256,314,100,100,0
531,4,2,256,314,100,100,0
532,4,2,256,314,100,100,0
533,4,2,256,314,100,100,0
534,4,2,256,314,100,100,0
535,4,2,256,314,100,100,0
536,4,2,256,314,100,100,0
537,4,2,256,314,100,100,0
538,4,2,256,314,100,100,0
539,4,2,256,314,100,100,0
540,4,2,256,314,100,100,0
541,4,2,256,314,100,100,0
542,4,2,256,314,100,100,0
543,4,2,256,314,100,100,0
544,4,2,256,314,100,100,0
545,4,2,256,314,100,100,0
546,4,2,256,314,100,100,0
547,4,2,256,314,100,100,0
548,4,2,256,314,100,100,0
549,4,2,256,314,100,100,0
550,4,2,256,314,100,100,0
551,4,2,256,314,100,100,0
552,4,2,256,314,100,100,0
553,4,2,256,314,100,100,0
554,4,2,256,314,100,100,0
555,4,2,256,314,100,100,0
556,4,2,256,314,100,100,0
557,4,2,256,314,100,100,0
558,4,2,256,314,100,100,0
559,4,2,256,314,100,100,0
560,4,2,256,314,100,100,0
561,4,2,256,314,100,100,0
562,4,2,256,314,100,100,0
563,4,2,256,314,100,100,0
564,4,2,256,314,100,100,0
565,4,2,256,314,100,100,0
566,4,2,256,314,100,100,0
567,4,2,256,314,100,100,0
568,4,2,256,314,100,100,0
569,4,2,256,314,100,100,0
570,4,2,256,314,100,100,0
571,4,2,256,314,100,100,0
572,4,2,256,314,100,100,0
573,4,2,256,314,100,100,0
574,4,2,256,314,100,100,0
575,4,2,256,314,100,100,0
576,4,2,256,314,100,100,0
577,4,2,256,314,100,100,0
578,4,2,256,314,100,100,0
579,4,2,256,314,100,100,0
580,4,2,256,314,100,100,0
581,4,2,256,314,100,100,0
582,4,2,256,314,100,100,0
583,4,2,256,314,100,100,0
584,4,2,256,314,100,100,0
585,4,2,256,314,100,100,0
586,4,2,256,314,100,100,0
587,4,2,256,314,100,100,0
588,4,2,256,314,100,100,0
589,4,2,256,314,100,100,0
590,4,2,256,314,100,100,0
591,4,2,256,314,100,100,0
592,4,2,256,314,100,100,0
593,4,2,256,314,100,100,0
594,4,2,256,314,100,100,0
595,4,2,256,314,100,100,0
596,4,2,256,314,100,100,0
597,4,2,256,314,100,100,0
598,4,2,256,314,100,100,0
599,4,2,256,314,100,100,0
600,4,2,256,314,100,100,0
601,4,2,256,314,100,100,0
602,4,2,256,314,100,100,0
603,4,2,256,314,100,100,0
604,4,2,256,314,100,100,0
605,4,2,256,314,100,100,0
606,4,2,256,314,100,100,0
607,4,2,256,314,100,100,0
608,4,2,256,314,100,100,0
609,4,2,256,314,100,100,0
610,4,2,256,314,100,100,0
611,4,2,256,314,100,100,0
612,4,2,256,314,100,100,0
613,4,2,256,314,100,100,0
614,4,2,256,314,100,100,0
615,4,2,256,314,100,100,0
616,4,2,256,314,100,100,0
617,4,2,256,314,100,100,0
618,4,2,256,314,100,100,0
619,4,2,256,314,100,100,0
620,4,2,256,314,100,100,0
621,4,2,256,314,100,100,0
622,4,2,256,314,100,100,0
623,4,2,256,314,100,100,0
624,4,2,256,314,100,100,0
625,4,2,256,314,100,100,0
626,4,2,256,314,100,100,0
627,4,2,256,314,100,100,0
628,4,2,256,314,100,100,0
629,4,2,256,314,100,100,0
630,4,2,256,314,100,100,0
631,4,2,256,314,100,100,0
632,4,2,256,314,100,100,0
633,4,2,256,314,100,100,0
634,4,2,256,314,100,100,0
635,4,2,256,314,100,100,0
636,4,2,256,314,100,100,0
637,4,2,256,314,100,100,0
638,4,2,256,314,100,100,0
639,4,2,256,314,100,100,0
640,4,2,256,314,100,100,0
641,4,2,256,314,100,100,0
642,4,2,256,314,100,100,0
643,4,2,256,314,100,100,0
644,4,2,256,314,100,100,0
645,4,2,256,314,100,100,0
646,4,2,256,314,100,100,0
647,4,2,256,314,100,100,0
648,4,2,256,314,100,100,0
649,4,2,256,314,100,100,0
650,4,2,256,314,100,100,0
651,4,2,256,314,100,100,0
652,4,2,256,314,100,100,0
653,4,2,256,314,100,100,0
654,4,2,256,314,100,100,0
655,4,2,256,314,100,100,0
656,4,2,256,314,100,100,0
657,4,2,256,314,100,100,0
658,4,2,256,314,100,100,0
659,4,2,256,314,100,100,0
660,4,2,256,314,100,100,0
661,4,2,256,314,100,100,0
662,4,2,256,314,100,100,0
663,4,2,256,314,100,100,0
664,4,2,256,314,100,100,0
665,4,2,256,314,100,100,0
666,4,2,256,314,100,100,0
667,4,2,256,314,100,100,0
668,4,2,256,314,100,100,0
669,4,2,256,314,100,100,0
670,4,2,256,314,100,100,0
671,4,2,256,314,100,100,0
672,4,2,256,314,100,100,0
673,4,2,256,314,100,100,0
674,4,2,256,314,100,100,0
675,4,2,256,314,100,100,0
676,4,2,256,314,100,100,0
677,4,2,256,314,100,100,0
678,4,2,256,314,100,100,0
