sample,duration_ns,component_pages_allocated,directories_allocated,component_values_copied,directory_entries_copied,candidate_bodies_scanned,changed_bodies
680,5100,4,2,256,314,100,100
681,5100,4,2,256,314,100,100
682,5200,4,2,256,314,100,100
683,5100,4,2,256,314,100,100
684,5300,4,2,256,314,100,100
685,5100,4,2,256,314,100,100
686,5200,4,2,256,314,100,100
687,5200,4,2,256,314,100,100
688,5200,4,2,256,314,100,100
689,5100,4,2,256,314,100,100
690,5200,4,2,256,314,100,100
691,5000,4,2,256,314,100,100
692,5200,4,2,256,314,100,100
693,5100,4,2,256,314,100,100
694,5100,4,2,256,314,100,100
695,5100,4,2,256,314,100,100
696,5100,4,2,256,314,100,100
697,5100,4,2,256,314,100,100
698,5200,4,2,256,314,100,100
699,5100,4,2,256,314,100,100
700,5200,4,2,256,314,100,100
701,5200,4,2,256,314,100,100
702,5200,4,2,256,314,100,100
703,5000,4,2,256,314,100,100
704,5100,4,2,256,314,100,100
705,5200,4,2,256,314,100,100
706,5200,4,2,256,314,100,100
707,5100,4,2,256,314,100,100
708,5200,4,2,256,314,100,100
709,5100,4,2,256,314,100,100
710,5200,4,2,256,314,100,100
711,5200,4,2,256,314,100,100
712,5200,4,2,256,314,100,100
713,5100,4,2,256,314,100,100
714,5100,4,2,256,314,100,100
715,5100,4,2,256,314,100,100
716,5200,4,2,256,314,100,100
717,5100,4,2,256,314,100,100
718,5100,4,2,256,314,100,100
719,5200,4,2,256,314,100,100
720,5100,4,2,256,314,100,100
721,5100,4,2,256,314,100,100
722,5100,4,2,256,314,100,100
723,5000,4,2,256,314,100,100
724,5200,4,2,256,314,100,100
725,5100,4,2,256,314,100,100
726,5100,4,2,256,314,100,100
727,5000,4,2,256,314,100,100
728,5200,4,2,256,314,100,100
729,5000,4,2,256,314,100,100
730,5100,4,2,256,314,100,100
731,5100,4,2,256,314,100,100
732,5100,4,2,256,314,100,100
733,5100,4,2,256,314,100,100
734,5200,4,2,256,314,100,100
735,5100,4,2,256,314,100,100
736,5200,4,2,256,314,100,100
737,5100,4,2,256,314,100,100
738,5100,4,2,256,314,100,100
739,5100,4,2,256,314,100,100
740,5300,4,2,256,314,100,100
741,5100,4,2,256,314,100,100
742,5200,4,2,256,314,100,100
743,5100,4,2,256,314,100,100
744,5200,4,2,256,314,100,100
745,5100,4,2,256,314,100,100
746,5100,4,2,256,314,100,100
747,5100,4,2,256,314,100,100
748,5100,4,2,256,314,100,100
749,5100,4,2,256,314,100,100
750,5100,4,2,256,314,100,100
751,5100,4,2,256,314,100,100
752,5100,4,2,256,314,100,100
753,5000,4,2,256,314,100,100
754,5100,4,2,256,314,100,100
755,5200,4,2,256,314,100,100
756,5100,4,2,256,314,100,100
757,5100,4,2,256,314,100,100
758,5200,4,2,256,314,100,100
759,5100,4,2,256,314,100,100
760,5300,4,2,256,314,100,100
761,5100,4,2,256,314,100,100
762,5200,4,2,256,314,100,100
763,5100,4,2,256,314,100,100
764,5200,4,2,256,314,100,100
765,5100,4,2,256,314,100,100
766,5100,4,2,256,314,100,100
767,5100,4,2,256,314,100,100
