sample,duration_ns,candidate_bodies_scanned,inactive_bodies_skipped,changed_bodies
245,5100,100,9900,100
246,5200,100,9900,100
247,5100,100,9900,100
248,5200,100,9900,100
249,5100,100,9900,100
250,5000,100,9900,100
251,5100,100,9900,100
252,5100,100,9900,100
253,5200,100,9900,100
254,5100,100,9900,100
255,5200,100,9900,100
256,5200,100,9900,100
257,5200,100,9900,100
258,5100,100,9900,100
259,5200,100,9900,100
260,5200,100,9900,100
261,5100,100,9900,100
262,5200,100,9900,100
263,5100,100,9900,100
264,5100,100,9900,100
265,5100,100,9900,100
266,5200,100,9900,100
267,5100,100,9900,100
268,5200,100,9900,100
269,5100,100,9900,100
270,5200,100,9900,100
271,5100,100,9900,100
272,5200,100,9900,100
273,5200,100,9900,100
274,5100,100,9900,100
275,5200,100,9900,100
276,5200,100,9900,100
277,5100,100,9900,100
278,5200,100,9900,100
279,5200,100,9900,100
280,5200,100,9900,100
281,5200,100,9900,100
282,5100,100,9900,100
283,5000,100,9900,100
284,5200,100,9900,100
285,5100,100,9900,100
286,5100,100,9900,100
287,5100,100,9900,100
288,5200,100,9900,100
289,5100,100,9900,100
290,5200,100,9900,100
291,5200,100,9900,100
292,5100,100,9900,100
293,5100,100,9900,100
294,5100,100,9900,100
295,5100,100,9900,100
296,5100,100,9900,100
297,5100,100,9900,100
298,6200,100,9900,100
299,5100,100,9900,100
300,5100,100,9900,100
301,5100,100,9900,100
302,5100,100,9900,100
303,5100,100,9900,100
304,5200,100,9900,100
305,5100,100,9900,100
306,5200,100,9900,100
307,5200,100,9900,100
308,5100,100,9900,100
309,5200,100,9900,100
310,5200,100,9900,100
311,5100,100,9900,100
312,5200,100,9900,100
313,5100,100,9900,100
314,5100,100,9900,100
315,5200,100,9900,100
316,5200,100,9900,100
317,5200,100,9900,100
318,5100,100,9900,100
319,5100,100,9900,100
320,5100,100,9900,100
321,5200,100,9900,100
322,5100,100,9900,100
323,5100,100,9900,100
324,5100,100,9900,100
325,5100,100,9900,100
326,5100,100,9900,100
327,5100,100,9900,100
328,5200,100,9900,100
329,5100,100,9900,100
330,5100,100,9900,100
331,5100,100,9900,100
332,5200,100,9900,100
333,5100,100,9900,100
334,5100,100,9900,100
335,5100,100,9900,100
336,5200,100,9900,100
337,5100,100,9900,100
338,5200,100,9900,100
339,5200,100,9900,100
340,5100,100,9900,100
341,5100,100,9900,100
342,5200,100,9900,100
343,5100,100,9900,100
344,5200,100,9900,100
345,5100,100,9900,100
346,5200,100,9900,100
347,5200,100,9900,100
348,5200,100,9900,100
349,5100,100,9900,100
350,5200,100,9900,100
351,5100,100,9900,100
352,5200,100,9900,100
353,5100,100,9900,100
354,5100,100,9900,100
355,5100,100,9900,100
356,5100,100,9900,100
357,5200,100,9900,100
358,5200,100,9900,100
359,5100,100,9900,100
360,5100,100,9900,100
361,5100,100,9900,100
362,5100,100,9900,100
363,5100,100,9900,100
364,5100,100,9900,100
365,5100,100,9900,100
366,5100,100,9900,100
367,5200,100,9900,100
368,5200,100,9900,100
369,5100,100,9900,100
370,5200,100,9900,100
371,5000,100,9900,100
372,5200,100,9900,100
373,5100,100,9900,100
374,6200,100,9900,100
375,5100,100,9900,100
376,5200,100,9900,100
377,5100,100,9900,100
378,5100,100,9900,100
379,5100,100,9900,100
380,5100,100,9900,100
381,5100,100,9900,100
382,5200,100,9900,100
383,5200,100,9900,100
384,5200,100,9900,100
385,5100,100,9900,100
386,5200,100,9900,100
387,5200,100,9900,100
388,5100,100,9900,100
389,5100,100,9900,100
390,5200,100,9900,100
391,5100,100,9900,100
392,5200,100,9900,100
393,5100,100,9900,100
394,5200,100,9900,100
395,5100,100,9900,100
396,5100,100,9900,100
397,5200,100,9900,100
398,5100,100,9900,100
399,5100,100,9900,100
400,5300,100,9900,100
401,5100,100,9900,100
402,5200,100,9900,100
403,5000,100,9900,100
404,5200,100,9900,100
405,5100,100,9900,100
406,5100,100,9900,100
407,5200,100,9900,100
408,5300,100,9900,100
409,5200,100,9900,100
410,5200,100,9900,100
411,5100,100,9900,100
412,5200,100,9900,100
413,5100,100,9900,100
414,5200,100,9900,100
415,5200,100,9900,100
416,5200,100,9900,100
417,5100,100,9900,100
418,5100,100,9900,100
419,5100,100,9900,100
420,5200,100,9900,100
421,5100,100,9900,100
422,5100,100,9900,100
423,5100,100,9900,100
424,5100,100,9900,100
425,5200,100,9900,100
426,5200,100,9900,100
427,5100,100,9900,100
428,5200,100,9900,100
429,5100,100,9900,100
430,5100,100,9900,100
431,5100,100,9900,100
432,5200,100,9900,100
433,5200,100,9900,100
434,5100,100,9900,100
435,5200,100,9900,100
436,5200,100,9900,100
437,5100,100,9900,100
438,5100,100,9900,100
439,5100,100,9900,100
440,5200,100,9900,100
441,5100,100,9900,100
442,5200,100,9900,100
443,5100,100,9900,100
444,5100,100,9900,100
445,5200,100,9900,100
446,5100,100,9900,100
447,5100,100,9900,100
448,5200,100,9900,100
449,5200,100,9900,100
450,5100,100,9900,100
451,5000,100,9900,100
452,5200,100,9900,100
453,5200,100,9900,100
454,5200,100,9900,100
455,5100,100,9900,100
456,5200,100,9900,100
457,5100,100,9900,100
458,5100,100,9900,100
459,5100,100,9900,100
460,5200,100,9900,100
461,5100,100,9900,100
462,5100,100,9900,100
463,5100,100,9900,100
464,5200,100,9900,100
465,5100,100,9900,100
466,5100,100,9900,100
467,5100,100,9900,100
468,5100,100,9900,100
469,5100,100,9900,100
470,5100,100,9900,100
471,5100,100,9900,100
472,5200,100,9900,100
473,5100,100,9900,100
474,5100,100,9900,100
475,5000,100,9900,100
476,5200,100,9900,100
477,5100,100,9900,100
478,5100,100,9900,100
479,5200,100,9900,100
